non_seasonal_p,non_seasonal_d,non_seasonal_q,has_drift,log_likelihood,AIC,variance,seasonal_periods,has_holiday_effect,has_spikes_and_dips,has_step_changes,error_message
3,1,2,false,-990.92236576804589,1993.8447315360918,58.269942872929917,[NO_SEASONALITY],false,true,true,
3,1,2,true,-992.04432884810524,1998.0886576962105,58.735863309777031,[NO_SEASONALITY],false,true,true,
2,1,2,true,-999.60365809673226,2011.2073161934645,61.914247661677507,[NO_SEASONALITY],false,true,true,
1,1,4,false,-1000.073098764133,2012.1461975282659,61.724556514895227,[NO_SEASONALITY],false,true,true,
0,1,4,false,-1002.8610486737208,2015.7220973474416,63.372139366636681,[NO_SEASONALITY],false,true,true,
2,1,2,false,-1002.988262956473,2015.976525912946,63.461622182167986,[NO_SEASONALITY],false,true,true,
1,1,3,false,-1002.9970671493217,2015.9941342986433,63.4670199701004,[NO_SEASONALITY],false,true,true,
1,1,4,true,-1001.5415545793647,2017.0831091587295,61.976917524052539,[NO_SEASONALITY],false,true,true,
1,1,2,true,-1003.6387386397464,2017.2774772794928,63.756954914947663,[NO_SEASONALITY],false,true,true,
0,1,5,false,-1002.8396965268076,2017.6793930536153,63.363590108866937,[NO_SEASONALITY],false,true,true,
0,1,4,true,-1002.9113599893043,2017.8227199786086,63.394984790167442,[NO_SEASONALITY],false,true,true,
1,1,3,true,-1003.0214193780506,2018.0428387561012,63.477644621692804,[NO_SEASONALITY],false,true,true,
2,1,3,false,-1003.4598697639269,2018.9197395278538,63.6755123487806,[NO_SEASONALITY],false,true,true,
0,1,5,true,-1002.8903614523243,2019.7807229046487,63.386166167461148,[NO_SEASONALITY],false,true,true,
2,1,0,false,-1006.8912586874228,2019.7825173748456,65.247926115566216,[NO_SEASONALITY],false,true,true,
2,1,3,true,-1003.0062082008784,2020.0124164017568,63.470445929857036,[NO_SEASONALITY],false,true,true,
3,1,0,false,-1006.8014987388204,2021.6029974776409,65.206820145750214,[NO_SEASONALITY],false,true,true,
2,1,1,false,-1006.8309354804231,2021.6618709608463,65.220323572490912,[NO_SEASONALITY],false,true,true,
2,1,0,true,-1006.8786261627978,2021.7572523255956,65.242163567467372,[NO_SEASONALITY],false,true,true,
0,1,1,false,-1008.9994205959249,2021.9988411918498,66.2210875646072,[NO_SEASONALITY],false,true,true,
0,1,3,false,-1007.4045546929374,2022.8091093858748,65.485739253144075,[NO_SEASONALITY],false,true,true,
4,1,0,false,-1006.4838830874604,2022.9677661749208,65.060675489880609,[NO_SEASONALITY],false,true,true,
0,1,2,false,-1008.5904516827136,2023.1809033654272,66.031795521096242,[NO_SEASONALITY],false,true,true,
1,1,1,false,-1008.7565567253718,2023.5131134507435,66.108711685109569,[NO_SEASONALITY],false,true,true,
3,1,1,false,-1006.757792561178,2023.515585122356,65.186787315028127,[NO_SEASONALITY],false,true,true,
3,1,0,true,-1006.7600916939782,2023.5201833879564,65.188006841263373,[NO_SEASONALITY],false,true,true,
2,1,1,true,-1006.8706189543502,2023.7412379087004,65.238317178952556,[NO_SEASONALITY],false,true,true,
0,1,1,true,-1008.9584210575067,2023.9168421150134,66.202197075469684,[NO_SEASONALITY],false,true,true,
5,1,0,false,-1006.2590723632893,2024.5181447265786,64.956849697954127,[NO_SEASONALITY],false,true,true,
0,1,3,true,-1007.3621433256332,2024.7242866512663,65.466418888845709,[NO_SEASONALITY],false,true,true,
4,1,1,false,-1006.4670634548681,2024.9341269097363,65.052918692607363,[NO_SEASONALITY],false,true,true,
4,1,0,true,-1006.5294147140187,2025.0588294280374,65.0813180926874,[NO_SEASONALITY],false,true,true,
0,1,2,true,-1008.5545105814647,2025.1090211629294,66.015401407008426,[NO_SEASONALITY],false,true,true,
1,1,1,true,-1008.7177400244141,2025.4354800488281,66.090852310737333,[NO_SEASONALITY],false,true,true,
3,1,1,true,-1006.7734186645965,2025.5468373291931,65.193301549392274,[NO_SEASONALITY],false,true,true,
1,1,2,false,-1008.9308445956596,2025.8616891913191,66.189090640134424,[NO_SEASONALITY],false,true,true,
5,1,0,true,-1006.3051976848054,2026.6103953696108,64.9777229814709,[NO_SEASONALITY],false,true,true,
4,1,1,true,-1006.519055284449,2027.038110568898,65.076138923645615,[NO_SEASONALITY],false,true,true,
1,1,0,false,-1012.8395734322579,2029.6791468645158,68.030765187883929,[NO_SEASONALITY],false,true,true,
1,1,0,true,-1012.7960701374415,2031.5921402748829,68.010222862049034,[NO_SEASONALITY],false,true,true,
0,1,0,false,-1023.8427090390993,2049.6854180781984,73.472804509480568,[NO_SEASONALITY],false,true,true,
0,1,0,true,-1023.8690424498225,2051.7380848996449,73.486288600586818,[NO_SEASONALITY],false,true,true,
