date,cost,cost_3,cost_4,cost_5,cost_6,cost_7
2022/1/1,242.017678,,,,,
2022/1/2,269.161504,,,,,
2022/1/3,276.920684,262.6999553,,,,
2022/1/4,278.116592,274.7329267,266.5541145,,,
2022/1/5,281.451098,278.829458,276.4124695,269.5335112,,
2022/1/6,286.786348,282.1180127,280.8186805,278.4872452,272.408984,
2022/1/7,268.44675,278.894732,278.700197,278.3442944,276.8138293,271.8429506
2022/1/8,262.30773,272.5136093,274.7479815,275.4217036,275.6715337,274.7415294
2022/1/9,273.804842,268.1864407,272.8364175,274.5593536,275.1522267,275.4048634
2022/1/10,283.661444,273.2580053,272.0551915,275.0014228,276.0763687,276.3678291
2022/1/11,282.579534,280.0152733,275.5883875,274.16006,276.2644413,277.0053923
2022/1/12,286.73892,284.3266327,281.696185,277.818494,276.2565367,277.7607954
2022/1/13,173.497942,247.6054653,256.61946,260.0565364,260.4317353,261.5767374
2022/1/14,273.49075,244.5758707,254.0767865,259.993718,262.295572,262.2973089
2022/1/15,263.068168,236.68562,249.198945,255.8750628,260.5061263,262.4059429
2022/1/16,276.603076,271.053998,246.664984,254.6797712,259.3297317,262.8056906
2022/1/17,283.23275,274.3013313,274.098686,253.9785372,259.438601,262.7444486
2022/1/18,280.50443,280.1134187,275.852106,275.3798348,258.3995193,262.4480051
2022/1/19,279.86937,281.2021833,280.0524065,276.6555588,276.1280907,261.4666409
2022/1/20,278.7094,279.6944,280.5789875,279.7838052,276.9978657,276.4968491
2022/1/21,275.6837,278.08749,278.691725,279.59993,279.1004543,276.8101277
2022/1/22,260.254158,271.549086,273.629157,275.0042116,276.3756347,276.4081263
2022/1/23,273.157492,269.69845,271.9511875,273.534824,274.696425,275.9159
2022/1/24,275.106436,269.5060287,271.0504465,272.5822372,273.7967593,274.754998
2022/1/25,273.618914,273.9609473,270.53425,271.56414,272.7550167,273.7713529
2022/1/26,265.220944,271.3154313,271.7759465,269.4715888,270.5069407,271.6787206
2022/1/27,41.755374,193.531744,213.925417,225.771832,231.5188863,237.8281454
2022/1/28,19.99986,108.9920593,150.148773,175.1403056,191.4765033,201.3018826
2022/1/29,20,27.25174467,86.7440445,124.1190184,149.283588,166.97986
2022/1/30,19.999996,19.999952,25.4388075,73.3952348,106.765848,130.8145034
2022/1/31,20.251472,20.08382267,20.062832,24.4013404,64.537941,94.40665143
2022/2/1,125.516104,55.25585733,46.441893,41.1534864,41.253801,73.24910714
2022/2/2,238.794586,128.1873873,101.1405395,84.9124316,74.09366967,69.47391314
2022/2/3,239.488176,201.2662887,156.0125845,128.8100668,110.6750557,97.72145629
2022/2/4,241.001732,239.761498,211.2001495,173.010414,147.5086777,129.2931523
2022/2/5,243.659438,241.3831153,240.735983,217.6920072,184.7852513,161.2445006
2022/2/6,259.670944,248.1107047,245.9550725,244.5229752,224.6884967,195.4832074
2022/2/7,269.426148,257.58551,253.4395655,250.6492876,248.673504,231.0795897
2022/2/8,271.728032,266.941708,261.1211405,257.0972588,254.1624117,251.967008
2022/2/9,270.941824,270.698668,267.941737,263.0852772,259.4046863,256.5594706
2022/2/10,272.323704,271.66452,271.104927,268.8181304,264.625015,261.2502603
2022/2/11,262.43787,268.5677993,269.3578575,269.3715156,267.7547537,264.3125657
2022/2/12,255.77838,263.513318,265.3704445,266.641962,267.105993,266.0438431
2022/2/13,271.669016,263.2950887,265.5522425,266.6301588,267.4798043,267.7578534
2022/2/14,275.791928,267.7464413,266.4192985,267.6001796,268.1571203,268.6672506
2022/2/15,273.094232,273.518392,269.083389,267.7542852,268.515855,268.862422
2022/2/16,272.419682,273.768614,273.2437145,269.7506476,268.5318513,269.0735446
2022/2/17,270.516496,272.0101367,272.9555845,272.6982708,269.878289,268.815372
2022/2/18,265.005004,269.3137273,270.2588535,271.3654684,271.4160597,269.1821054
2022/2/19,259.798486,265.106662,266.934917,268.16678,269.437638,269.7564063
2022/2/20,272.514752,265.7727473,266.9586845,268.050884,268.891442,269.8772257
2022/2/21,274.972126,269.0951213,268.072592,268.5613728,269.2044243,269.7601111
2022/2/22,276.37733,274.6214027,270.9156735,269.7335396,269.8640323,270.2291251
2022/2/23,275.768806,275.7060873,274.9082535,271.8863,270.7394173,270.7075714
2022/2/24,277.658514,276.60155,276.194194,275.4583056,272.8483357,271.7278597
2022/2/25,266.912698,273.4466727,274.179337,274.3378948,274.0340377,272.0003874
2022/2/26,259.650562,268.0739247,269.997645,271.273582,271.890006,271.9792554
2022/2/27,260.52435,262.3625367,266.186531,268.102986,269.4820433,270.2663409
2022/2/28,279.527788,266.5675667,266.6538495,268.8547824,270.0071197,270.9171497
2022/3/1,271.745624,270.599254,267.862081,267.6722044,269.3365893,270.2554774
2022/3/2,269.108344,273.4605853,270.2265265,268.1113336,267.911561,269.3039829
2022/3/3,269.927528,270.2604987,272.577321,270.1667268,268.4140327,268.1995563
2022/3/4,115.966324,218.3340653,231.686955,241.2551216,244.4666597,246.6357886
2022/3/5,255.16927,213.6877073,227.5428665,236.383418,243.5741463,245.995604
2022/3/6,266.807032,212.647542,226.9675385,235.3956996,241.4540203,246.89313
2022/3/7,275.448144,265.8081487,228.3476925,236.6636596,242.071107,246.3103237
2022/3/8,278.29259,273.515922,268.929259,238.336672,243.6018147,247.2456046
2022/3/9,278.09528,277.2786713,274.6607615,270.7624632,244.9631067,248.5294526
2022/3/10,273.223238,276.537036,276.264813,274.3732568,271.1725923,249.0002683
2022/3/11,264.021916,271.7801447,273.408256,273.8162336,272.6480333,270.1510671
2022/3/12,257.247522,264.830892,268.146989,270.1761092,271.0547817,270.4479603
2022/3/13,258.76255,260.0106627,263.3138065,266.2701012,268.2738493,269.2987486
2022/3/14,278.019986,264.676686,264.5129935,266.2550424,268.2284153,269.6661546
2022/3/15,279.77666,272.1863987,268.4516795,267.5657268,268.5086453,269.8781646
2022/3/16,280.872964,279.5565367,274.35804,270.9359364,269.7835997,270.2749766
2022/3/17,279.28476,279.978128,279.4885925,275.343384,272.327407,271.1409083
2022/3/18,268.958082,276.3719353,277.2231165,277.3824904,274.279167,271.8460749
2022/3/19,261.393912,269.878918,272.6274295,274.0572756,274.7177273,272.4384163
2022/3/20,273.118566,267.82352,270.68883,272.7256568,273.900824,274.4892757
2022/3/21,281.011164,271.841214,271.120431,272.7532968,274.1065747,274.9165869
2022/3/22,278.093594,277.4077747,273.404309,272.5150636,273.6433463,274.6761489
2022/3/23,279.244438,279.449732,277.8669405,274.5723348,273.636626,274.4435023
2022/3/24,277.140034,278.1593553,278.8723075,277.7215592,275.0002847,274.1371129
2022/3/25,269.502586,275.295686,275.995163,276.9983632,276.3517303,274.2148991
2022/3/26,262.047116,269.5632453,271.9835435,273.2055536,274.5064887,274.308214
2022/3/27,272.8388,268.1295007,270.382134,272.1545948,273.144428,274.2682474
2022/3/28,282.459456,272.4484573,271.7119895,272.7975984,273.8720717,274.4751463
2022/3/29,286.083934,280.46073,275.8573265,274.5863784,275.0119877,275.6166234
2022/3/30,286.801414,285.1149347,282.045901,278.046144,276.6222177,276.6961914
2022/3/31,286.263268,286.382872,285.402018,282.8893744,279.4156647,277.9995106
2022/4/1,261.722674,278.262452,280.2178225,280.6661492,279.361591,276.8880946
2022/4/2,254.516924,267.5009553,272.32607,275.0776428,276.307945,275.8123529
2022/4/3,252.68531,256.3083027,263.797044,268.397918,271.3455873,272.9332829
2022/4/4,237.64553,248.282588,251.6426095,258.5667412,263.27252,266.5312934
2022/4/5,242.120028,244.1502893,246.741948,249.7380932,255.8256223,260.2507354
2022/4/6,247.501036,242.422198,244.987976,246.8937656,249.3652503,254.6363957
2022/4/7,250.63224,246.7511013,244.4747085,246.1168288,247.5168447,249.5462489
2022/4/8,247.236886,248.4567207,246.8725475,245.027144,246.303505,247.4768506
2022/4/9,244.879652,247.582926,247.5624535,246.4739684,245.002562,246.1000974
2022/4/10,248.785634,246.9673907,247.883603,247.8070896,246.859246,245.5430009
2022/4/11,252.429246,248.6981773,248.3328545,248.7927316,248.577449,247.6549603
2022/4/12,255.20733,252.1407367,250.3254655,249.7077496,249.8618313,249.5245749
2022/4/13,253.92142,253.8526653,252.5859075,251.0446564,250.410028,250.4417726
2022/4/14,253.438482,254.1890773,253.7491195,252.7564224,251.4436273,250.8426643
2022/4/15,249.641944,252.3339487,253.052294,252.9276844,252.2373427,251.186244
2022/4/16,245.373256,249.4845607,250.5937755,251.5164864,251.668613,251.2567589
2022/4/17,262.2878,252.4343333,252.6853705,252.9325804,253.3117053,253.1856397
2022/4/18,273.763432,260.4748293,257.766608,256.9009828,256.404389,256.2333806
2022/4/19,276.4061,270.8191107,264.457647,261.4945064,260.1518357,259.2617763
2022/4/20,277.351842,275.840458,272.4522935,267.036486,264.1373957,262.6089794
2022/4/21,276.59239,276.783444,276.028441,273.2803128,268.6291367,265.9166806
2022/4/22,269.195938,274.3800567,274.8865675,274.6619404,272.5995837,268.7101083
2022/4/23,260.558214,268.7821807,270.924596,272.0208968,272.3113193,270.879388
2022/4/24,271.37599,267.0433807,269.430633,271.0148748,271.9134123,272.1777009
2022/4/25,279.06253,270.3322447,270.048168,271.3570124,272.3561507,272.9347149
2022/4/26,278.998878,276.4791327,272.498903,271.83831,272.6306567,273.3051117
2022/4/27,277.052896,278.3714347,276.6225735,273.4097016,272.7074077,273.2624051
2022/4/28,275.623208,277.224994,277.684378,276.4227004,273.7786193,273.1239506
2022/4/29,269.843862,274.173322,275.379711,276.1162748,275.3262273,273.2165111
2022/4/30,263.033078,269.5000493,271.388261,272.9103844,273.935742,273.5700631
2022/5/1,256.032938,262.9699593,266.1332715,268.3171964,270.0974767,271.3781986
2022/5/2,272.457008,263.841008,265.3417215,267.3980188,269.007165,270.4345526
2022/5/3,278.042906,268.844284,267.3914825,267.8819584,269.1721667,270.2979851
2022/5/4,246.99439,265.8314347,263.3818105,263.312064,264.400697,266.0039129
2022/5/5,247.514082,257.517126,261.2520965,260.2082648,260.679067,261.9883234
2022/5/6,246.570118,247.0261967,254.780374,258.3157008,257.9352403,258.6635029
2022/5/7,245.957322,246.6805073,246.758978,253.0157636,256.255971,256.2241091
2022/5/8,250.694922,247.7407873,247.684111,247.5461668,252.6289567,255.4615354
2022/5/9,251.94533,249.5325247,248.791923,248.5363548,248.2793607,252.5312957
2022/5/10,251.225122,251.288458,249.955674,249.2785628,248.9844827,248.7001837
2022/5/11,250.519986,251.230146,251.09634,250.0685364,249.4854667,249.2038403
2022/5/12,249.759504,250.5015373,250.8624855,250.8289728,250.017031,249.5246149
2022/5/13,247.076908,249.1187993,249.64538,250.10537,250.2036287,249.5970134
2022/5/14,244.901848,247.2460867,248.0645615,248.6966736,249.2381163,249.4462314
2022/5/15,249.747534,247.2420967,247.8714485,248.401156,248.871817,249.3108903
2022/5/16,266.566096,253.7384927,252.0730965,251.610378,251.428646,251.3995711
2022/5/17,274.865964,263.7265313,259.0203605,256.63167,255.486309,254.7768343
2022/5/18,274.853406,272.0951553,266.50825,262.1869696,259.668626,258.2530371
2022/5/19,272.671404,274.130258,272.2392175,267.7408808,263.9343753,261.5261657
2022/5/20,265.560654,271.028488,271.987857,270.9035048,267.3775097,264.1667009
2022/5/21,258.197878,265.4766453,267.8208355,269.2298612,268.7859003,266.0661337
2022/5/22,267.63313,263.7972207,266.0157665,267.7832944,268.9637393,268.6212189
2022/5/23,277.218208,267.683072,267.1524675,268.2562548,269.35578,270.1429491
2022/5/24,275.71484,273.5220593,269.691014,268.864942,269.4993523,270.2642171
2022/5/25,276.097518,276.343522,274.165924,270.9723148,270.0703713,270.4419474
2022/5/26,276.701004,276.1711207,276.4328925,274.67294,271.9270963,271.0176046
2022/5/27,267.121196,273.3065727,273.9086395,274.5705532,273.414316,271.2405391
2022/5/28,258.920522,267.5809073,269.71006,270.911016,271.9622147,271.343774
2022/5/29,269.973504,265.3384073,268.1790565,269.7627488,270.754764,271.6781131
2022/5/30,278.785908,269.2266447,268.7002825,270.3004268,271.2666087,271.9020703
2022/5/31,279.617782,276.1257313,271.824429,270.8837824,271.8533193,272.4596334
2022/6/1,270.24895,276.2175467,274.656536,271.5093332,270.777977,271.6241237
2022/6/2,263.322778,271.06317,272.9938545,272.3897844,270.1449073,269.7129486
2022/6/3,255.831784,263.134504,267.2553235,269.5614404,269.6301177,268.1001754
2022/6/4,239.759882,252.9714813,257.2908485,261.7562352,264.594514,265.3629411
2022/6/5,243.945976,246.5125473,250.715105,254.621874,258.7878587,261.6447229
2022/6/6,249.678424,244.4614273,247.3040165,250.5077688,253.7979657,257.4865109
2022/6/7,253.056282,248.8935607,246.610141,248.4544696,250.932521,253.6920109
2022/6/8,252.818744,251.85115,249.8748565,247.8518616,249.1818487,251.2019814
2022/6/9,252.466778,252.7806013,252.005057,250.3932408,248.6210143,249.6511243
2022/6/10,251.481316,252.2556127,252.45578,251.9003088,250.5745867,249.0296289
2022/6/11,247.617326,250.5218067,251.096041,251.4880892,251.1864783,250.1521209
2022/6/12,250.955962,250.0182013,250.6303455,251.0680252,251.3994013,251.1535474
2022/6/13,252.219194,250.2641607,250.5684495,250.9481152,251.2598867,251.5165146
2022/6/14,252.536146,251.9037673,250.832157,250.9619888,251.212787,251.4422094
2022/6/15,254.165122,252.9734873,252.469106,251.49875,251.4958443,251.6345491
2022/6/16,254.10265,253.601306,253.255778,252.7958148,251.9327333,251.8682451
2022/6/17,250.292852,252.8535413,252.7741925,252.6631928,252.3786543,251.6984646
2022/6/18,252.87225,252.422584,252.8582185,252.793804,252.6980357,252.449168
2022/6/19,270.59425,257.919784,256.9655005,256.4054248,255.760545,255.2546377
2022/6/20,277.25301,266.9065033,262.7530905,261.0230024,259.8800223,258.8308971
2022/6/21,278.111812,275.3196907,269.7078305,265.8248348,263.8711373,262.4845637
2022/6/22,278.12457,277.8297973,276.0209105,271.3911784,267.8747907,265.907342
2022/6/23,278.939528,278.39197,278.10723,276.604634,272.6492367,269.4554674
2022/6/24,136.09992,231.0546727,242.8189575,249.705768,253.1871817,253.1421914
2022/6/25,259.232026,224.757158,238.099011,246.1015712,251.2934777,254.0507309
2022/6/26,270.331994,221.88798,236.150867,244.5456076,250.139975,254.0132657
2022/6/27,275.257746,268.273922,235.2304215,243.9722428,249.6642973,253.728228
2022/6/28,266.113616,270.5677853,267.7338455,241.4070604,247.6624717,252.0142
2022/6/29,278.35952,273.2436273,272.515719,269.8589804,247.5658037,252.0477643
2022/6/30,280.400032,274.9577227,275.0327285,274.0925816,271.6158223,252.2564077
2022/7/1,260.299694,273.0197487,271.2932155,272.0861216,271.793767,269.9992326
2022/7/2,252.863646,264.521124,267.980723,267.6073016,268.8823757,269.089464
2022/7/3,264.185306,259.1162153,264.4371695,267.2216396,267.036969,268.2113657
