date,cost,cost_3,cost_4,cost_5,cost_6,cost_7
2022/1/1,140.6451588,,,,,
2022/1/2,140.645159,,,,,
2022/1/3,140.6451588,140.6451589,,,,
2022/1/4,140.6451591,140.645159,140.6451589,,,
2022/1/5,140.6451586,140.6451588,140.6451589,140.6451589,,
2022/1/6,140.6451584,140.6451587,140.6451587,140.6451588,140.6451588,
2022/1/7,140.645159,140.6451587,140.6451588,140.6451588,140.6451588,140.6451588
2022/1/8,140.6451591,140.6451588,140.6451588,140.6451588,140.6451588,140.6451589
2022/1/9,140.645159,140.645159,140.6451589,140.6451588,140.6451589,140.6451589
2022/1/10,140.645159,140.645159,140.645159,140.6451589,140.6451588,140.6451589
2022/1/11,140.6451591,140.645159,140.6451591,140.645159,140.6451589,140.6451589
2022/1/12,140.6451589,140.645159,140.645159,140.645159,140.645159,140.6451589
2022/1/13,81.886859,121.059059,125.955584,128.893499,130.852109,132.2511162
2022/1/14,140.0880116,120.8733432,125.8162972,128.7820695,130.7592511,132.1715237
2022/1/15,140.6451588,120.8733431,125.8162971,128.7820695,130.7592511,132.1715236
2022/1/16,140.6451589,140.4594431,125.8162971,128.7820694,130.7592511,132.1715236
2022/1/17,147.1837356,142.8246844,142.1405162,130.0897848,131.8490138,133.105606
2022/1/18,164.7741911,150.8676952,148.3120611,146.6672512,135.8705192,136.5526106
2022/1/19,164.7741913,158.910706,154.3443192,151.6044871,149.6850746,139.9996152
2022/1/20,164.7741909,164.7741911,160.3765772,156.4302936,153.7994378,151.8406626
2022/1/21,164.774191,164.7741911,164.7741911,161.2561,157.8209431,155.3672597
2022/1/22,164.7741908,164.7741909,164.774191,164.774191,161.8424485,158.8142642
2022/1/23,164.7741913,164.774191,164.774191,164.7741911,164.7741911,162.2612689
2022/1/24,164.7741915,164.7741912,164.7741912,164.7741911,164.7741911,164.7741911
2022/1/25,164.7741912,164.7741913,164.7741912,164.7741912,164.7741911,164.7741911
2022/1/26,164.7741908,164.7741912,164.7741912,164.7741911,164.7741911,164.7741911
2022/1/27,56.5216857,128.6900226,137.7110648,143.1236901,146.7321069,149.3095475
2022/1/28,20,80.43195883,101.5175169,114.1688518,122.6030751,128.6275202
2022/1/29,20,32.17389523,65.32396913,85.21401354,98.4740432,107.9454929
2022/1/30,20,20,29.13042143,56.2591753,74.34501128,87.2634656
2022/1/31,20.162781,20.05426033,20.04069525,27.33689334,50.24310958,66.60469267
2022/2/1,100.0357454,46.73284213,40.0496316,36.03970528,39.45336868,57.35634327
