date,cost,cost_3,cost_4,cost_5,cost_6,cost_7
2022/1/1,102.846259,,,,,
2022/1/2,104.156002,,,,,
2022/1/3,104.207416,103.736559,,,,
2022/1/4,104.318806,104.227408,103.8821208,,,
2022/1/5,104.389564,104.305262,104.267947,103.9836094,,
2022/1/6,104.439034,104.382468,104.338705,104.3021644,104.0595135,
2022/1/7,104.334601,104.387733,104.3705013,104.3378842,104.3075705,104.0988117
2022/1/8,102.863842,103.879159,104.0067603,104.0691694,104.0922105,104.1013236
2022/1/9,98.25982,101.819421,102.4743242,102.8573722,103.1009445,103.2590119
2022/1/10,102.199948,101.10787,101.9145528,102.419449,102.7478015,102.9722307
2022/1/11,98.030422,99.49673,100.338508,101.1377266,101.6879445,102.0738901
2022/1/12,97.950166,99.393512,99.110089,99.8608396,100.6064665,101.1539761
2022/1/13,97.676986,97.885858,98.9643805,98.8234684,99.496864,100.1879693
2022/1/14,98.270176,97.965776,97.9819375,98.8255396,98.731253,99.32162286
2022/1/15,98.05318,98.000114,97.987627,97.996186,98.696813,98.63438543
2022/1/16,94.827385,97.050247,97.20693175,97.3555786,97.4680525,98.14403757
2022/1/17,92.205472,95.028679,95.83905325,96.2066398,96.4972275,96.71625529
2022/1/18,91.932934,92.988597,94.25474275,95.0578294,95.4943555,95.84518557
2022/1/19,91.89745,92.011952,92.71581025,93.7832842,94.5310995,94.98051186
2022/1/20,91.953091,91.927825,91.99723675,92.5632664,93.478252,94.16281257
2022/1/21,91.930249,91.92693,91.928431,91.9838392,92.4577635,93.25710871
2022/1/22,91.862497,91.915279,91.91082175,91.9152442,91.9636155,92.37272543
2022/1/23,91.888345,91.893697,91.9085455,91.9063264,91.910761,91.95286257
2022/1/24,87.248401,90.333081,90.732373,90.9765166,91.1300055,91.24470957
2022/1/25,85.628809,88.255185,89.157013,89.7116602,90.085232,90.34412029
2022/1/26,85.655407,86.177539,87.6052405,88.4566918,89.035618,89.45239986
2022/1/27,86.606314,85.96351,86.28473275,87.4054552,88.1482955,88.68857457
2022/1/28,86.222566,86.161429,86.028274,86.2722994,87.208307,87.87319129
2022/1/29,85.871008,86.233296,86.08882375,85.9968208,86.2054175,87.01726429
2022/1/30,85.736266,85.94328,86.1090385,86.0183122,85.953395,86.13839586
2022/1/31,85.408657,85.671977,85.80962425,85.9689622,85.916703,85.87557529
2022/2/1,103.734157,91.62636,90.187522,89.3945308,88.929828,88.46205357
2022/2/2,104.925553,98.022789,94.95115825,93.1351282,91.9830345,91.21493157
2022/2/3,105.032827,104.564179,99.7752985,96.967492,95.118078,93.84729057
2022/2/4,105.070189,105.009523,104.6906815,100.8342766,98.3179415,96.53980814
2022/2/5,105.091714,105.06491,105.0300708,104.770888,101.5438495,99.28562329
2022/2/6,105.216172,105.126025,105.1027255,105.067291,104.845102,102.068467
2022/2/7,105.240922,105.182936,105.1547493,105.1303648,105.0962295,104.9016477
2022/2/8,98.967445,103.141513,103.6290633,103.9172884,104.1032115,104.2206889
2022/2/9,99.461875,101.223414,102.2216035,102.7956256,103.1747195,103.4401634
2022/2/10,98.976535,99.135285,100.6616943,101.5725898,102.1591105,102.5749789
2022/2/11,98.936281,99.124897,99.085534,100.3166116,101.133205,101.6987063
2022/2/12,98.954104,98.95564,99.08219875,99.059248,100.089527,100.8219049
2022/2/13,98.862211,98.917532,98.93228275,99.0382012,99.0264085,99.91419614
2022/2/14,99.165865,98.99406,98.97961525,98.9789992,99.0594785,99.04633086
2022/2/15,92.706574,96.91155,97.4221885,97.725007,97.933595,98.15192071
2022/2/16,92.538343,94.803594,95.81824825,96.4454194,96.860563,97.16284471
2022/2/17,92.458909,92.567942,94.21742275,95.1463804,95.781001,96.23175529
2022/2/18,92.513569,92.503607,92.55434875,93.876652,94.7075785,95.314225
2022/2/19,92.581459,92.517979,92.52307,92.5597708,93.6607865,94.40384714
2022/2/20,92.563342,92.55279,92.52931975,92.5311244,92.560366,93.50400871
2022/2/21,92.560858,92.568553,92.554807,92.5356274,92.53608,92.56043629
2022/2/22,86.194189,90.439463,90.974962,91.2826834,91.478721,91.63009557
2022/2/23,86.14693,88.300659,89.36632975,90.0093556,90.4267245,90.71703657
2022/2/24,86.167735,86.169618,87.767428,88.7266108,89.3690855,89.81829743
2022/2/25,86.173213,86.162626,86.17051675,87.448585,88.3010445,88.91253229
2022/2/26,86.163334,86.168094,86.162803,86.1690802,87.2343765,87.99565729
2022/2/27,86.126893,86.15448,86.15779375,86.155621,86.162049,87.07616457
2022/2/28,86.087587,86.125938,86.13775675,86.1437524,86.144282,86.15141157
2022/3/1,102.661282,91.625254,90.259774,89.4424618,88.896674,88.50385343
2022/3/2,104.051182,97.600017,94.731736,93.0180556,91.8772485,91.06160371
2022/3/3,103.899694,103.537386,99.17493625,96.5653276,94.831662,93.59474071
2022/3/4,103.93375,103.961542,103.636477,100.126699,97.793398,96.13196029
2022/3/5,103.972177,103.935207,103.9642008,103.703617,100.767612,98.67608071
2022/3/6,103.954744,103.953557,103.9400913,103.9623094,103.7454715,101.2229166
2022/3/7,103.924186,103.950369,103.9462142,103.9369102,103.9559555,103.7710021
2022/3/8,102.367858,103.415596,103.5547413,103.630543,103.6754015,103.7290844
2022/3/9,97.597876,101.29664,101.961166,102.3633682,102.6250985,102.8071836
2022/3/10,97.633645,99.199793,100.3808913,101.0956618,101.575081,101.9120337
2022/3/11,97.617334,97.616285,98.80417825,99.8281798,100.5159405,101.0096886
2022/3/12,97.586416,97.612465,97.60881775,98.5606258,99.4545525,100.097437
2022/3/13,94.635406,96.613052,96.86820025,97.0141354,97.9064225,98.766103
2022/3/14,97.603231,96.608351,96.86059675,97.0152064,97.112318,97.86310943
2022/3/15,97.749427,96.662688,96.89362,97.0383628,97.1375765,97.20333357
2022/3/16,94.863352,96.73867,96.212854,96.4875664,96.675861,96.81268729
2022/3/17,91.497907,94.703562,95.42847925,95.2698646,95.6559565,95.93615329
2022/3/18,91.570081,92.64378,93.92019175,94.6567996,94.653234,95.07226
2022/3/19,91.636936,91.568308,92.392069,93.4635406,94.153489,94.22233429
2022/3/20,91.421845,91.542954,91.53169225,92.1980242,93.123258,93.76325414
2022/3/21,91.377805,91.478862,91.50166675,91.5009148,92.061321,92.87390757
2022/3/22,91.410415,91.403355,91.46175025,91.4834164,91.4858315,91.96833443
2022/3/23,91.424206,91.404142,91.40856775,91.4542414,91.473548,91.47702786
2022/3/24,86.680186,89.838269,90.223153,90.4628914,90.6585655,90.788782
2022/3/25,84.979174,87.694522,88.62349525,89.1743572,89.5489385,89.84722386
2022/3/26,85.031509,85.563623,87.02876875,87.905098,88.4838825,88.90359143
2022/3/27,84.993709,85.001464,85.4211445,86.6217568,87.4198665,87.98528629
2022/3/28,85.046167,85.023795,85.01263975,85.346149,86.3591585,87.08076657
2022/3/29,85.007902,85.015926,85.01982175,85.0116922,85.2897745,86.16612186
2022/3/30,85.037392,85.030487,85.0212925,85.0233358,85.0159755,85.25371986
2022/3/31,84.956293,85.000529,85.0119385,85.0082926,85.012162,85.00744943
2022/4/1,102.748897,90.914194,89.437621,88.5593302,87.96506,87.54598129
2022/4/2,104.081086,97.262092,94.205917,92.366314,91.1462895,90.26734943
2022/4/3,104.076097,103.63536,98.96559325,96.179953,94.3179445,92.99340486
2022/4/4,104.167654,104.108279,103.7684335,100.0060054,97.5112365,95.72504586
2022/4/5,104.135155,104.126302,104.114998,103.8417778,100.694197,98.45751057
2022/4/6,104.218987,104.173932,104.1494733,104.1357958,103.904646,101.1977384
2022/4/7,104.444791,104.266311,104.2416468,104.2085368,104.187295,103.9818096
2022/4/8,100.977259,103.213679,103.444048,103.5887692,103.6699905,103.7287184
2022/4/9,97.808905,101.076985,101.8624855,102.3170194,102.6254585,102.8326926
2022/4/10,97.799305,98.861823,100.257565,101.0498494,101.564067,101.936008
