date,cost
2022/1/1,242.017678
2022/1/2,269.161504
2022/1/3,276.920684
2022/1/4,278.116592
2022/1/5,281.451098
2022/1/6,286.786348
2022/1/7,268.44675
2022/1/8,262.30773
2022/1/9,273.804842
2022/1/10,283.661444
2022/1/11,282.579534
2022/1/12,286.73892
2022/1/13,173.497942
2022/1/14,273.49075
2022/1/15,263.068168
2022/1/16,276.603076
2022/1/17,283.23275
2022/1/18,280.50443
2022/1/19,279.86937
2022/1/20,278.7094
2022/1/21,275.6837
2022/1/22,260.254158
2022/1/23,273.157492
2022/1/24,275.106436
2022/1/25,273.618914
2022/1/26,265.220944
2022/1/27,41.755374
2022/1/28,19.99986
2022/1/29,20
2022/1/30,19.999996
2022/1/31,20.251472
2022/2/1,125.516104
2022/2/2,238.794586
2022/2/3,239.488176
2022/2/4,241.001732
2022/2/5,243.659438
2022/2/6,259.670944
2022/2/7,269.426148
2022/2/8,271.728032
2022/2/9,270.941824
2022/2/10,272.323704
2022/2/11,262.43787
2022/2/12,255.77838
2022/2/13,271.669016
2022/2/14,275.791928
2022/2/15,273.094232
2022/2/16,272.419682
2022/2/17,270.516496
2022/2/18,265.005004
2022/2/19,259.798486
2022/2/20,272.514752
2022/2/21,274.972126
2022/2/22,276.37733
2022/2/23,275.768806
2022/2/24,277.658514
2022/2/25,266.912698
2022/2/26,259.650562
2022/2/27,260.52435
2022/2/28,279.527788
2022/3/1,271.745624
2022/3/2,269.108344
2022/3/3,269.927528
2022/3/4,115.966324
2022/3/5,255.16927
2022/3/6,266.807032
2022/3/7,275.448144
2022/3/8,278.29259
2022/3/9,278.09528
2022/3/10,273.223238
2022/3/11,264.021916
2022/3/12,257.247522
2022/3/13,258.76255
2022/3/14,278.019986
2022/3/15,279.77666
2022/3/16,280.872964
2022/3/17,279.28476
2022/3/18,268.958082
2022/3/19,261.393912
2022/3/20,273.118566
2022/3/21,281.011164
2022/3/22,278.093594
2022/3/23,279.244438
2022/3/24,277.140034
2022/3/25,269.502586
2022/3/26,262.047116
2022/3/27,272.8388
2022/3/28,282.459456
2022/3/29,286.083934
2022/3/30,286.801414
2022/3/31,286.263268
2022/4/1,261.722674
2022/4/2,254.516924
2022/4/3,252.68531
2022/4/4,237.64553
2022/4/5,242.120028
2022/4/6,247.501036
2022/4/7,250.63224
2022/4/8,247.236886
2022/4/9,244.879652
2022/4/10,248.785634
2022/4/11,252.429246
2022/4/12,255.20733
2022/4/13,253.92142
2022/4/14,253.438482
2022/4/15,249.641944
2022/4/16,245.373256
2022/4/17,262.2878
2022/4/18,273.763432
2022/4/19,276.4061
2022/4/20,277.351842
2022/4/21,276.59239
2022/4/22,269.195938
2022/4/23,260.558214
2022/4/24,271.37599
2022/4/25,279.06253
2022/4/26,278.998878
2022/4/27,277.052896
2022/4/28,275.623208
2022/4/29,269.843862
2022/4/30,263.033078
2022/5/1,256.032938
2022/5/2,272.457008
2022/5/3,278.042906
2022/5/4,246.99439
2022/5/5,247.514082
2022/5/6,246.570118
2022/5/7,245.957322
2022/5/8,250.694922
2022/5/9,251.94533
2022/5/10,251.225122
2022/5/11,250.519986
2022/5/12,249.759504
2022/5/13,247.076908
2022/5/14,244.901848
2022/5/15,249.747534
2022/5/16,266.566096
2022/5/17,274.865964
2022/5/18,274.853406
2022/5/19,272.671404
2022/5/20,265.560654
2022/5/21,258.197878
2022/5/22,267.63313
2022/5/23,277.218208
2022/5/24,275.71484
2022/5/25,276.097518
2022/5/26,276.701004
2022/5/27,267.121196
2022/5/28,258.920522
2022/5/29,269.973504
2022/5/30,278.785908
2022/5/31,279.617782
2022/6/1,270.24895
2022/6/2,263.322778
2022/6/3,255.831784
2022/6/4,239.759882
2022/6/5,243.945976
2022/6/6,249.678424
2022/6/7,253.056282
2022/6/8,252.818744
2022/6/9,252.466778
2022/6/10,251.481316
2022/6/11,247.617326
2022/6/12,250.955962
2022/6/13,252.219194
2022/6/14,252.536146
2022/6/15,254.165122
2022/6/16,254.10265
2022/6/17,250.292852
2022/6/18,252.87225
2022/6/19,270.59425
2022/6/20,277.25301
2022/6/21,278.111812
2022/6/22,278.12457
2022/6/23,278.939528
2022/6/24,136.09992
2022/6/25,259.232026
2022/6/26,270.331994
2022/6/27,275.257746
2022/6/28,266.113616
2022/6/29,278.35952
2022/6/30,280.400032
2022/7/1,260.299694
2022/7/2,252.863646
2022/7/3,264.185306
2022/7/4,242.589384
2022/7/5,242.522308
2022/7/6,246.59085
2022/7/7,249.023758
2022/7/8,247.522774
2022/7/9,245.832794
2022/7/10,251.149702
2022/7/11,253.560526
2022/7/12,253.187026
2022/7/13,251.18436
2022/7/14,251.82929
2022/7/15,248.492216
2022/7/16,246.098302
2022/7/17,253.435712
2022/7/18,256.066834
2022/7/19,275.469408
2022/7/20,281.72628
2022/7/21,280.563536
2022/7/22,272.674426
2022/7/23,264.999338
2022/7/24,275.048546
2022/7/25,285.212656
2022/7/26,286.403966
2022/7/27,282.780862
2022/7/28,277.584376
2022/7/29,266.767338
2022/7/30,258.448152
2022/7/31,272.919736
2022/8/1,278.637644
2022/8/2,283.054754
2022/8/3,281.032848
2022/8/4,246.252124
2022/8/5,247.65181
2022/8/6,244.89329
2022/8/7,248.749468
2022/8/8,251.672304
2022/8/9,252.59097
2022/8/10,251.634048
2022/8/11,252.211332
2022/8/12,247.111234
2022/8/13,244.506414
2022/8/14,256.75411
2022/8/15,321.038978
2022/8/16,252.520646
2022/8/17,252.2415
2022/8/18,253.918672
2022/8/19,255.636574
2022/8/20,256.989926
2022/8/21,266.29857
2022/8/22,276.351302
2022/8/23,276.417906
2022/8/24,276.00324
2022/8/25,274.406606
2022/8/26,264.961992
2022/8/27,257.618936
2022/8/28,268.15706
2022/8/29,277.548498
2022/8/30,279.620416
2022/8/31,279.69137
2022/9/1,273.915952
2022/9/2,269.868338
2022/9/3,260.603144
2022/9/4,246.654642
2022/9/5,252.168716
2022/9/6,255.631872
2022/9/7,255.688528
2022/9/8,252.60549
2022/9/9,248.257206
2022/9/10,247.031098
2022/9/11,253.78548
2022/9/12,257.338494
2022/9/13,256.363158
2022/9/14,256.728918
2022/9/15,258.330816
2022/9/16,256.002328
2022/9/17,252.9021
2022/9/18,258.123502
2022/9/19,261.234066
2022/9/20,273.890888
2022/9/21,286.252174
2022/9/22,285.912612
2022/9/23,277.339784
2022/9/24,269.37549
2022/9/25,279.621908
2022/9/26,285.112284
2022/9/27,288.775372
2022/9/28,283.99428
2022/9/29,280.069432
2022/9/30,275.846726
2022/10/1,256.92201
2022/10/2,267.282794
2022/10/3,274.476554
2022/10/4,252.304288
2022/10/5,256.23022
2022/10/6,257.614516
2022/10/7,252.134244
2022/10/8,252.09133
2022/10/9,251.11724
2022/10/10,249.791914
2022/10/11,260.16063
2022/10/12,263.603938
2022/10/13,248.63552
2022/10/14,250.73488
2022/10/15,252.333494
2022/10/16,256.396708
2022/10/17,254.540338
2022/10/18,253.527034
2022/10/19,254.193352
2022/10/20,255.180178
2022/10/21,259.508146
2022/10/22,266.13878
2022/10/23,274.05707
2022/10/24,280.699484
2022/10/25,279.994342
2022/10/26,278.797042
2022/10/27,276.889486
2022/10/28,270.91529
2022/10/29,264.272092
2022/10/30,272.443474
2022/10/31,281.31481
2022/11/1,274.248894
2022/11/2,275.975926
2022/11/3,271.86399
2022/11/4,248.87785
2022/11/5,252.88077
2022/11/6,264.9766
2022/11/7,256.587928
2022/11/8,256.667048
2022/11/9,256.686028
2022/11/10,256.68416
2022/11/11,257.62349
2022/11/12,254.390218
2022/11/13,257.758472
2022/11/14,261.274976
2022/11/15,251.598456
2022/11/16,257.341866
2022/11/17,254.488574
2022/11/18,246.983922
2022/11/19,241.124906
2022/11/20,245.66243
2022/11/21,248.371428
2022/11/22,255.470046
2022/11/23,267.10575
2022/11/24,257.744594
2022/11/25,249.609544
2022/11/26,238.515404
2022/11/27,254.545984
2022/11/28,262.03098
2022/11/29,263.43628
2022/11/30,262.05644
