date,cost
2022/1/1,140.6451588
2022/1/2,140.645159
2022/1/3,140.6451588
2022/1/4,140.6451591
2022/1/5,140.6451586
2022/1/6,140.6451584
2022/1/7,140.645159
2022/1/8,140.6451591
2022/1/9,140.645159
2022/1/10,140.645159
2022/1/11,140.6451591
2022/1/12,140.6451589
2022/1/13,81.886859
2022/1/14,140.0880116
2022/1/15,140.6451588
2022/1/16,140.6451589
2022/1/17,147.1837356
2022/1/18,164.7741911
2022/1/19,164.7741913
2022/1/20,164.7741909
2022/1/21,164.774191
2022/1/22,164.7741908
2022/1/23,164.7741913
2022/1/24,164.7741915
2022/1/25,164.7741912
2022/1/26,164.7741908
2022/1/27,56.5216857
2022/1/28,20
2022/1/29,20
2022/1/30,20
2022/1/31,20.162781
2022/2/1,100.0357454
2022/2/2,180.2857116
2022/2/3,180.285712
2022/2/4,180.2857122
2022/2/5,180.2857118
2022/2/6,180.2857119
2022/2/7,180.2857119
2022/2/8,180.2857118
2022/2/9,180.285712
2022/2/10,180.2857122
2022/2/11,180.2857117
2022/2/12,180.2857121
2022/2/13,180.2857115
2022/2/14,180.2857116
2022/2/15,180.2857121
2022/2/16,180.2857116
2022/2/17,180.2857122
2022/2/18,180.2857117
2022/2/19,180.2857121
2022/2/20,180.2857118
2022/2/21,180.2857117
2022/2/22,180.2857118
2022/2/23,180.2857116
2022/2/24,180.2857117
2022/2/25,180.2857115
2022/2/26,180.285712
2022/2/27,180.285712
2022/2/28,180.2857118
2022/3/1,164.9690423
2022/3/2,164.969042
2022/3/3,164.9690419
2022/3/4,108.7524519
2022/3/5,164.9690418
2022/3/6,164.9690423
2022/3/7,164.9690419
2022/3/8,164.9690422
2022/3/9,164.9690419
2022/3/10,164.9690418
2022/3/11,164.9690422
2022/3/12,164.969042
2022/3/13,158.9286652
2022/3/14,164.9690421
2022/3/15,164.969042
2022/3/16,164.9690422
2022/3/17,164.9690422
2022/3/18,164.9690422
2022/3/19,164.969042
2022/3/20,164.9690417
2022/3/21,164.969042
2022/3/22,164.9690419
2022/3/23,164.9690423
2022/3/24,192.1865955
2022/3/25,193.394343
2022/3/26,193.3943426
2022/3/27,193.3943425
2022/3/28,193.394342
2022/3/29,193.3943426
2022/3/30,193.3943423
2022/3/31,210.4059648
2022/4/1,216.5333288
2022/4/2,216.533329
2022/4/3,216.5333288
2022/4/4,212.066662
2022/4/5,212.0666621
2022/4/6,212.0666617
2022/4/7,212.0666619
2022/4/8,212.0666619
2022/4/9,212.0666619
2022/4/10,212.0666624
2022/4/11,212.0666619
